City,Price range per sqft,Avg price per sqft,Price rise
Sangli,"3,092 / sqft","3,91.98 / sqft",-
Raigarh,-,-,-
Parbhani,-,-,-
Osmanabad,-,-,-
Nandurbar,-,-,-
Nanded,"6,188 / sqft","6,187.5 / sqft",-
Kurnool,"3,667 / sqft","3,666.67 / sqft",-
Nellore,-,-,-
Nizamabad,-,-,-
Rajahmundry,"4,455 / sqft","4,454.55 / sqft",-
Bhagalpur,-,-,-
Raipur,"1,750 - 5,625 / sqft","4,196.58 / sqft",-
Gandhinagar,"2,151 / sqft","2,150.54 / sqft",-
Jamnagar,"3,661 - 10,526 / sqft","10,526.32 / sqft",-
Porbandar,-,-,-
Rajkot,"1,833 - 8,333 / sqft","6,709.02 / sqft",-
Kurukshetra,-,-,-
Panchkula,"2,142 - 76,316 / sqft","41,399.53 / sqft",-
Dharamsala,-,-,-
Manali,-,-,-
Jammu,"8,636 / sqft","8,636.36 / sqft",-
Srinagar,-,-,-
Bokaro,-,-,-
Dhanbad,"1,857 - 2,394 / sqft","2,125.81 / sqft",-
Bellary,-,-,-
Bidar,-,-,-
Dharwad,-,-,-
Hubli,-,-,-
Alappuzha,-,-,-
Kollam,-,-,-
Palakkad,"2,367 - 3,000 / sqft","3,000 / sqft",-
Ujjain,"2,170 - 3,119 / sqft","2,679.75 / sqft",-
Imphal,-,-,-
Shillong,-,-,-
Cuttack,"5,085 / sqft","5,84.75 / sqft",-
Rourkela,-,-,-
Mohali,"1,067 - 46,844 / sqft","26,821.52 / sqft",-
Pathankot,-,-,-
Ajmer,"1,499 - 20,000 / sqft","8,877.79 / sqft",-
Bhilwara,-,-,-
Kota,"3,059 - 6,296 / sqft","5,697.53 / sqft",-
Udaipur,"3,864 / sqft","3,863.64 / sqft",-
Gangtok,-,-,-
Erode,"6,933 / sqft","6,933.33 / sqft",-
Hosur,"3,428 - 4,333 / sqft","3,880.67 / sqft",-
Agartala,-,-,-
Faizabad,"11,290 / sqft","11,290 / sqft",-
Gorakhpur,"3,571 / sqft","3,571.43 / sqft",-
Roorkee,-,-,-
Rudrapur,-,-,-
Dadra and Nagar Haveli,-,-,-
Daman and Diu,-,-,-
Latur,-,-,-
Jalna,-,-,-
Jalgaon,-,-,-
Hingoli,-,-,-
Gadchiroli,-,-,-
Dhule,-,-,-
Chandrapur,"2,636 / sqft","2,635.66 / sqft",-
Bhandara,-,-,-
Amravati,"2,083 / sqft","2,83.33 / sqft",-
Akola,"2,917 / sqft","2,916.67 / sqft",-
Ahmednagar,"3,636 - 4,127 / sqft","3,951.42 / sqft",-
Sindhudurg,"4,798 - 5,172 / sqft","4,985.33 / sqft",-
Wardha,-,-,-
Washim,-,-,-
Yavatmal,-,-,-
Kodaikanal,-,-,-
Shirdi,-,-,-
Zirakpur,"1,342 - 40,909 / sqft","22,218.02 / sqft",-
Baddi,-,-,-
Neemrana,-,-,-
Rewari,"5,412 - 11,111 / sqft","10,358.52 / sqft",-
Palwal,"1,587 - 9,063 / sqft","7,833.94 / sqft",-
Karur,-,-,-
Baramati,-,-,-
Alibaugh,-,-,-
Saharanpur,-,-,-
Hardoi,-,-,-
Firozabad,-,-,-
Rampur,-,-,-
Etawah,-,-,-
Hapur,-,-,-
Gonda,-,-,-
Basti,-,-,-
Mirzapur,-,-,-
Azamgarh,-,-,-
Barabanki,-,-,-
Bahadurgarh,"3,378 - 4,444 / sqft","4,175.08 / sqft",-
Nalgonda,-,-,-
Hassan,-,-,-
Kakinada,"5,555 / sqft","5,555 / sqft",-
Shimoga,-,-,-
Proddatur,-,-,-
Kodagu,-,-,-
Muzaffarpur,-,-,-
Arrah,-,-,-
Begusarai,-,-,-
Durg,"1,501 - 3,612 / sqft","2,836.7 / sqft",-
Nokha,-,-,-
Kangra,-,-,-
Neemuch,-,-,-
Bolpur,"2,333 / sqft","2,333.33 / sqft",-
Dibrugarh,-,-,-
Cuddalore,"3,366 - 8,000 / sqft","5,683.24 / sqft",-
Kullu,-,-,-
East Godavari,-,-,-
Tiruppur,"1,894 / sqft","1,893.5 / sqft",-
Chamarajanagar,-,-,-
Koraput,-,-,-
Tuticorin,-,-,-
Pudukkottai,-,-,-
Villupuram,-,-,-
Dharmapuri,-,-,-
Perambalur,-,-,-
Chitradurga,-,-,-
Tumakuru,"25,000 / sqft","25,000 / sqft",-
Greater Noida,"1,111 - 57,008 / sqft","8,744.91 / sqft",-
Balasore,"2,941 - 5,328 / sqft","4,256.29 / sqft",-
Bhadrak,-,-,-
Sehore,-,-,-
Asansol,"2,353 - 36,842 / sqft","20,709.29 / sqft",-
Nadia,-,-,-
Pathanamthitta,-,-,-
Kheda,"3,846 / sqft","3,846.15 / sqft",-
Belagavi,"3,600 - 4,800 / sqft","4,83.33 / sqft",-
Bikaner,-,-,-
Bathinda,-,-,-
Eluru,"4,296 - 4,975 / sqft","4,635.71 / sqft",-
Athens,-,-,-
Chittoor,-,-,-
Jajpur,-,-,-
Vijayapura,"2,667 / sqft","2,666.67 / sqft",-
Rajsamand,"2,652 / sqft","2,651.52 / sqft",-
Shivamogga,-,-,-
Kutch,-,-,-
Kanyakumari,-,-,-
Prakasham,-,-,-
Kadapa,-,-,-
Srikakulam,-,-,-
Jharsuguda,"3,310 / sqft","3,310.34 / sqft",-
Sikar,-,-,-
Gaya,-,-,-
Bilaspur,"975 - 4,167 / sqft","3,112.65 / sqft",-
Darbhanga,-,-,-
Darjeeling,-,-,-
Navsari,"2,098 / sqft","2,97.9 / sqft",-
Ratlam,-,-,-
Junagadh,"3,069 / sqft","3,68.59 / sqft",-
Hathras,-,-,-
Deoghar,-,-,-
Jhunjhunu,-,-,-
Sambalpur,-,-,-
Barnala,-,-,-
Bankura,-,-,-
Madhubani,-,-,-
Theni,"10,732 / sqft","10,731.71 / sqft",-
Hazaribagh,-,-,-
Pali,-,-,-
Banswara,-,-,-
Barmer,"3,200 / sqft","3,200 / sqft",-
Purulia,-,-,-
Mewat,-,-,-
West Godavari,"3,241 / sqft","3,240.74 / sqft",-
Thanjavur,"3,586 / sqft","3,586.21 / sqft",-
Dera Bassi,"1,795 - 2,899 / sqft","2,785.22 / sqft",-
Sri Ganganagar,-,-,-
Hoshangabad,"2,022 / sqft","2,22.47 / sqft",-
Beed,-,-,-
Haldwani,"2,813 - 5,725 / sqft","4,268.85 / sqft",-
Bhiwadi,"1,451 - 3,200 / sqft","2,935.6 / sqft",-
Aruppukkottai,-,-,-
Bagpat,-,-,-
Balotra,-,-,-
Berhampur,-,-,-
Cuttak,-,-,-
Gadag,-,-,-
Gadarwara,-,-,-
Guruvayoor,-,-,-
Hissar,-,-,-
Jalpaiguri,-,-,-
Karwar,-,-,-
Khambhat,-,-,-
Kulu Manali,"2,010 / sqft","2,010 / sqft",-
Kumhari,-,-,-
Mahesana,-,-,-
Mussoorie,-,-,-
Patan,-,-,-
Prakasam,-,-,-
Tiruvannamalai,-,-,-
Tumkur,-,-,-
Bagru,-,-,-
Buldana,-,-,-
Chhindwara,"1,564 / sqft","1,564 / sqft",-
Adilabad,-,-,-
Amroha,-,-,-
Unnao,-,-,-
Bahraich,-,-,-
Bhatinda,-,-,-
Bharatpur,-,-,-
Bhiwani,-,-,-
Burhanpur,-,-,-
Saran,-,-,-
Davanagere,-,-,-
Dewas,-,-,-
Fatehpur,-,-,-
Guna,-,-,-
Jaunpur,-,-,-
Karimnagar,-,-,-
Kasaragod,-,-,-
Khammam,-,-,-
Khandwa,-,-,-
Malappuram,-,-,-
Morbi,-,-,-
Katni,-,-,-
Purnia,-,-,-
Raichur,-,-,-
Rewa,"2,938 / sqft","2,937.5 / sqft",-
Sagar,-,-,-
Satna,-,-,-
Shivpuri,-,-,-
Suryapet,-,-,-
Thoothukudi,-,-,-
Vizianagaram,"5,185 / sqft","5,185.19 / sqft",-
Yamunanagar,-,-,-
Dharuhera,"2,323 - 3,077 / sqft","2,955.47 / sqft",-
Jind,-,-,-
Kaithal,-,-,-
Mithapur,-,-,-
Rupnagar,-,-,-
Sitapur,-,-,-
Kushinagar,-,-,-
Bijapur,-,-,-
Gondia,-,-,-
Krishnagiri,-,-,-
Namakkal,"1,800 - 2,133 / sqft","2,133.33 / sqft",-
Sivaganga,-,-,-
Nilgiris,-,-,-
Thiruvananthapuram,-,-,-
Jangaon,-,-,-
Sangareddy,-,-,-
Sirohi,-,-,-
Aravalli,-,-,-
Dungarpur,-,-,-
Nagaur,"4,124 / sqft","4,123.71 / sqft",-
Tonk,-,-,-
Jalore,-,-,-
Hanumangarh,-,-,-
Himatnagar,-,-,-
Gudivada,-,-,-
Dhar,"1,556 / sqft","1,555.56 / sqft",-
Jagdalpur,-,-,-
Rajnandgaon,-,-,-
Chhota Udepur,-,-,-
Raisen,-,-,-
Morinda,-,-,-
Gondal,-,-,-
Mandsaur,-,-,-
Betul,-,-,-
Boranada,-,-,-
Surendranagar,-,-,-
Vidisha,-,-,-
Banaskantha,-,-,-
Amreli,-,-,-
Peddapalli,-,-,-
Chapra,-,-,-
Yadgir,-,-,-
Daman,-,-,-
Karaikudi,-,-,-
Ramgarh,-,-,-
Rajgarh,-,-,-
Chhatarpur,-,-,-
Purba Medinipur,-,-,-
Saharsa,-,-,-
Vaishali,"11,111 / sqft","11,111.11 / sqft",-
Chandauli,-,-,-
Bardhaman,-,-,-
Darrang,-,-,-
Gurdaspur,-,-,-
Alipurduar,-,-,-
West Medinipur,-,-,-
Damoh,-,-,-
Faridkot,-,-,-
Sangrur,-,-,-
Kapurthala,-,-,-
Bagalkot,-,-,-
Barwani,-,-,-
Khargone,-,-,-
Vyara,-,-,-
Chittaranjan,-,-,-
Mancherial,-,-,-
Jagtial,-,-,-
Jorhat,-,-,-
Narsinghpur,-,-,-
Nagarkurnool,-,-,-
Harda,-,-,-
Agar,-,-,-
Seoni,-,-,-
Dahod,-,-,-
Shajapur,-,-,-
Shahdol,-,-,-
Hoshiarpur,-,-,-
Wanaparthy,-,-,-
Jhalawar,-,-,-
Sawai Madhopur,-,-,-
Tikamgarh,-,-,-
Alirajpur,-,-,-
Balaghat,-,-,-
Ramanagara,-,-,-
Panchmahal,-,-,-
Mandla,-,-,-
Tenkasi,-,-,-
Chittorgarh,-,-,-
Jhabua,-,-,-
Virudhunagar,-,-,-
Mandi,"1,083 - 3,692 / sqft","3,692.31 / sqft",-
Koppal,-,-,-
North Tripura,-,-,-
Uttara Kannada,-,-,-
Gir Somnath,-,-,-
Thiruvarur,-,-,-
Jogulamba Gadwal,-,-,-
Bhadradri Kothagudem,-,-,-
Muktsar,-,-,-
Mansa,-,-,-
Rajanna Sircilla,-,-,-
Sabarkantha,-,-,-
Tirupathur,-,-,-
Tiruchirapalli,-,-,-
Nagapattinam,-,-,-
Umaria,-,-,-
Lalitpur,-,-,-
Mayiladuthurai,-,-,-
Ariyalur,-,-,-
Kallakurichi,-,-,-
