{'text': 'when my fellow YouTubers need help they', 'start': 0.04, 'duration': 4.719}
{'text': 'know who to', 'start': 2.24, 'duration': 6.6}
{'text': 'call not them me and based on', 'start': 4.759, 'duration': 6.081}
{'text': 'electroboom setup he should have done it', 'start': 8.84, 'duration': 4.919}
{'text': 'a long time ago you have 6 million', 'start': 10.84, 'duration': 4.759}
{'text': 'subscribers and you make your videos on', 'start': 13.759, 'duration': 5.041}
{'text': "this laptop it's oozing goo and the", 'start': 15.599, 'duration': 5.881}
{'text': 'power adapter looks like a fire hazard', 'start': 18.8, 'duration': 4.84}
{'text': "Don't Unplug it the battery is dead oh", 'start': 21.48, 'duration': 4.44}
{'text': 'you shut down the computer now well no', 'start': 23.64, 'duration': 4.879}
{'text': 'more Jes and llen electroboom is getting', 'start': 25.92, 'duration': 6.12}
{'text': 'an upgrade courtesy of origin PC who is', 'start': 28.519, 'duration': 5.401}
{'text': 'sponsoring this video and will be giving', 'start': 32.04, 'duration': 3.72}
{'text': 'away one of their PCS to one of our', 'start': 33.92, 'duration': 5.0}
{'text': "lucky viewers as for you dude we've got", 'start': 35.76, 'duration': 5.799}
{'text': "everything we've got a computer a NZ a", 'start': 38.92, 'duration': 6.319}
{'text': 'TV a camera streaming gear I knew if I', 'start': 41.559, 'duration': 6.64}
{'text': 'believed in Santa his elf would show', 'start': 45.239, 'duration': 5.32}
{'text': 'up how are we going to get this all in', 'start': 48.199, 'duration': 4.241}
{'text': "the room how about we just don't give", 'start': 50.559, 'duration': 2.881}
{'text': 'you all of', 'start': 52.44, 'duration': 2.759}
{'text': 'it', 'start': 53.44, 'duration': 4.24}
{'text': 'what uh or maybe we could give you all', 'start': 55.199, 'duration': 6.441}
{'text': 'of it but you have to earn it please sir', 'start': 57.68, 'duration': 6.32}
{'text': 'ah what did you say before we get', 'start': 61.64, 'duration': 4.08}
{'text': 'started on the room upstairs we want to', 'start': 64.0, 'duration': 4.4}
{'text': "take a look at what we're working with", 'start': 65.72, 'duration': 5.439}
{'text': 'and this is your network closet and', 'start': 68.4, 'duration': 3.68}
{'text': "there's", 'start': 71.159, 'duration': 4.521}
{'text': "more you know not bad everything's", 'start': 72.08, 'duration': 6.0}
{'text': 'tucked away the place looks amazing but', 'start': 75.68, 'duration': 3.88}
{'text': "it's actually got a fair amount of tech", 'start': 78.08, 'duration': 5.56}
{'text': 'in it Nest thermostats got uh wait no I', 'start': 79.56, 'duration': 5.879}
{'text': 'have a Wi-Fi for upstairs and a', 'start': 83.64, 'duration': 3.799}
{'text': "different one for downstairs uh that's", 'start': 85.439, 'duration': 4.921}
{'text': "not good oh what's wrong with that we're", 'start': 87.439, 'duration': 4.161}
{'text': 'going to get all that sorted out with', 'start': 90.36, 'duration': 2.56}
{'text': "some gear from ubiquity you'll just", 'start': 91.6, 'duration': 2.879}
{'text': 'automatically roam between all the', 'start': 92.92, 'duration': 3.28}
{'text': 'different access points and one name for', 'start': 94.479, 'duration': 3.64}
{'text': 'the entire house one name for the entire', 'start': 96.2, 'duration': 4.36}
{'text': 'house everyone will be named medy ah', 'start': 98.119, 'duration': 4.881}
{'text': "great and they'll all have eyebrows like", 'start': 100.56, 'duration': 5.04}
{'text': 'this that works but a question that I', 'start': 103.0, 'duration': 3.88}
{'text': "have is there's so much stuff here are", 'start': 105.6, 'duration': 3.0}
{'text': 'you planning to share any of it with the', 'start': 106.88, 'duration': 4.0}
{'text': 'other medes who live here you know I', 'start': 108.6, 'duration': 5.08}
{'text': 'mean you have a family right I do but I', 'start': 110.88, 'duration': 5.76}
{'text': 'mean I keep as much as I can for', 'start': 113.68, 'duration': 5.479}
{'text': 'myself we got you a desktop what do you', 'start': 116.64, 'duration': 4.56}
{'text': 'need the framework laptop for oh that', 'start': 119.159, 'duration': 4.56}
{'text': 'one that one I think my daughter can use', 'start': 121.2, 'duration': 4.879}
{'text': 'that one although I also dropped mine I', 'start': 123.719, 'duration': 4.561}
{'text': "don't", 'start': 126.079, 'duration': 2.201}
{'text': 'know I also have a problem with that now', 'start': 128.479, 'duration': 4.041}
{'text': 'you would think that since lonus is an', 'start': 131.16, 'duration': 3.0}
{'text': 'investor in framework he would know', 'start': 132.52, 'duration': 3.76}
{'text': 'every inner working about the laptop but', 'start': 134.16, 'duration': 4.64}
{'text': 'medy I want you to put him to the test I', 'start': 136.28, 'duration': 4.08}
{'text': "bought dog shot collars cuz I didn't", 'start': 138.8, 'duration': 3.2}
{'text': 'think you had enough gear already it', 'start': 140.36, 'duration': 3.36}
{'text': 'goes from a zero to a', 'start': 142.0, 'duration': 5.04}
{'text': "100 every minute you're adding one medy", 'start': 143.72, 'duration': 5.84}
{'text': 'once he gets the boot you hit the button', 'start': 147.04, 'duration': 3.479}
{'text': 'what', 'start': 149.56, 'duration': 3.6}
{'text': 'I get shocked no matter what I do yes', 'start': 150.519, 'duration': 5.641}
{'text': 'sir I would do anything for my craft ow', 'start': 153.16, 'duration': 4.359}
{'text': "ow hey you're not allowed to press the", 'start': 156.16, 'duration': 3.6}
{'text': 'button yet yeah just just testing you', 'start': 157.519, 'duration': 4.521}
{'text': 'know we have to do a test run always I', 'start': 159.76, 'duration': 4.44}
{'text': 'started the timer you better get on what', 'start': 162.04, 'duration': 4.16}
{'text': "you start the timer yes it's it working", 'start': 164.2, 'duration': 4.44}
{'text': "still can you not it's still working yes", 'start': 166.2, 'duration': 4.119}
{'text': "you're not allowed to Slow Me Down what", 'start': 168.64, 'duration': 4.679}
{'text': 'is this a notebook well the DIY Edition', 'start': 170.319, 'duration': 5.041}
{'text': 'comes with everything disassembled so', 'start': 173.319, 'duration': 3.801}
{'text': 'you have to put it together yourself', 'start': 175.36, 'duration': 3.0}
{'text': 'that way you could choose if you wanted', 'start': 177.12, 'duration': 3.56}
{'text': 'to bring your own Ram or your own SSD if', 'start': 178.36, 'duration': 4.48}
{'text': 'you build it if you build it yourself', 'start': 180.68, 'duration': 4.559}
{'text': 'the first time can you not stop throwing', 'start': 182.84, 'duration': 4.679}
{'text': 'stuff around okay then you will be amply', 'start': 185.239, 'duration': 5.401}
{'text': 'prepared for any repairs or upgrades', 'start': 187.519, 'duration': 5.201}
{'text': 'that you might want to do in the future', 'start': 190.64, 'duration': 5.159}
{'text': "how's two you're supposed to wait till", 'start': 192.72, 'duration': 4.799}
{'text': 'the end wait till the end no wait till', 'start': 195.799, 'duration': 3.561}
{'text': 'the end here you unbox this make', 'start': 197.519, 'duration': 4.121}
{'text': 'yourself useful okay ID the Idle Hands', 'start': 199.36, 'duration': 3.92}
